Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Mediterranean Sea Programme (MedProgramme): Enhancing Environmental Security,9607,Libya,"Biodiversity, International Waters, Chemicals and Waste",PFD,"United Nations Environment Programme, European Bank for Reconstruction and Development",42376147,708000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 6,750376147
Enabling Implementation of the Regional SAP for the Rational and Equitable Management of the Nubian Sandstone Aquifer System (NSAS),9165,Libya,International Waters,Full-size Project,United Nations Development Programme,3990000,17730000,Completed,2018,GEF Trust Fund,No,No,GEF - 6,21720000
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,9118,Libya,Biodiversity,Medium-size Project,United Nations Environment Programme,1368550,1225000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2593550
Support to 16 GEF Eligible Parties for Alignment of  National Action Programs and Reporting  Process under UNCCD,5898,Libya,Land Degradation,Medium-size Project,United Nations Environment Programme,1045000,1000000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,2045000
MED: Sustainable Governance and Knowledge Generation,4001,Libya,International Waters,Full-size Project,The World Bank,3000000,4400000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,7400000
MED: Integration of Climatic Variability and Change into National Strategies to Implement the ICZM Protocol in the Mediterranean,3990,Libya,International Waters,Full-size Project,United Nations Environment Programme,2298545,6176400,Completed,2012,GEF Trust Fund,No,No,GEF - 4,8474945
MENARID: Reducing Risks to the Sustainable Management of the North West Sahara Aquifer System (NWSAS),3645,Libya,International Waters,Medium-size Project,United Nations Environment Programme,960000,2266080,Completed,2009,GEF Trust Fund,No,No,GEF - 4,3226080
"World Bank-GEF Investment Fund for the Mediterranean Sea Large Marine Ecosystem Partnership, Tranche 1, 2nd Installment",3229,Libya,International Waters,Full-size Project,The World Bank,905000,45000000,Project Approved,2007,GEF Trust Fund,No,No,GEF - 4,45905000
Strategic Partnership for the Mediterranean Large Marine Ecosystem-Regional Component: Implementation of Agreed Actions for the Protection of the Environmental Resources of the Mediterranean Sea and Its Coastal Areas,2600,Libya,International Waters,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization",12891000,36548200,Completed,2008,GEF Trust Fund,No,No,GEF - 4,49439200
Building Partnerships to Assist Developing Countries to Reduce the Transfer of Harmful Aquatic Organisms in Ships' Ballast Water (GloBallast Partnerships),2261,Libya,International Waters,Full-size Project,United Nations Development Programme,5688000,17701939,Completed,2007,GEF Trust Fund,No,No,GEF - 4,23389939
National Capacity Needs Self-Assessment (NCSA) for Libya to Manage the Global Environmental,2025,Libya,,Enabling Activity,United Nations Development Programme,200000,0,Completed,2003,GEF Trust Fund,No,No,GEF - 3,200000
Formulation of an Action Programme for the Integrated Management of the Shared Nubian Aquifer,2020,Libya,International Waters,Medium-size Project,United Nations Development Programme,975000,6951100,Completed,2005,GEF Trust Fund,No,No,GEF - 3,7926100
Protection of the North West Sahara Aquifer System (NWSAS) and related humid zones and ecosystems,1851,Libya,International Waters,Medium-size Project,United Nations Environment Programme,600000,816000,Completed,2002,GEF Trust Fund,No,No,GEF - 3,1416000
Support for the Implementation of the National Biosafety Framework,2838,Lithuania,Biodiversity,Medium-size Project,United Nations Environment Programme,687400,404000,Completed,2006,GEF Trust Fund,No,No,GEF - 3,1091400
"Preparing for HCFC phase out in CEITs: needs, benefits and potential synergies with other MEAs",2331,Lithuania,Chemicals and Waste,Medium-size Project,"United Nations Development Programme, The World Bank, United Nations Industrial Development Organization, United Nations Environment Programme",745000,535000,Completed,2008,GEF Trust Fund,No,No,GEF - 4,1280000
National Capacity Self-Assessment (NCSA) for Global Environment Management,2218,Lithuania,,Enabling Activity,United Nations Development Programme,195000,0,Completed,2003,GEF Trust Fund,No,No,GEF - 3,195000
Commercializing Energy Efficiency Finance (CEEF) - Tranche II,2174,Lithuania,Climate Change,Full-size Project,"The World Bank, International Finance Corporation",6750000,57000000,Completed,2003,GEF Trust Fund,Yes,No,GEF - 2,63750000
Total Sector Methyl Bromide Phase Out in Countries with Economies in Transition,2118,Lithuania,Chemicals and Waste,Full-size Project,"United Nations Environment Programme, United Nations Development Programme",5000000,2295329,Completed,2005,GEF Trust Fund,No,No,GEF - 3,7295329
Preparation of the POPs National Implementation Plan under the Stockholm Convention,1846,Lithuania,Chemicals and Waste,Enabling Activity,United Nations Development Programme,381400,63400,Completed,2003,GEF Trust Fund,No,No,GEF - 3,444800
Commercializing Energy Efficiency Finance (CEEF) - Tranche I,1541,Lithuania,Climate Change,Full-size Project,"The World Bank, International Finance Corporation",11250000,20850000,Completed,2002,GEF Trust Fund,Yes,No,GEF - 2,32100000
Elimination of Green House Gases in the Manufacturing of Domestic Refrigerators and Freezers at Snaige,1381,Lithuania,Climate Change,Medium-size Project,United Nations Development Programme,999900,1494000,Completed,2001,GEF Trust Fund,No,No,GEF - 2,2493900
"Initiating Early Phaseout of Methyl Bromide through Awareness Raising, Policy Development and Demonstration/Training Activities",1305,Lithuania,Chemicals and Waste,Medium-size Project,United Nations Environment Programme,663000,37000,Completed,1999,GEF Trust Fund,No,No,GEF - 2,700000
Enhancing Conservation of the Critical Network of Sites of Wetlands Required by Migratory Waterbirds on the African/Eurasian Flyways.,1258,Lithuania,Biodiversity,Full-size Project,United Nations Environment Programme,6000000,6195229,Completed,2005,GEF Trust Fund,No,No,GEF - 3,12195229
Conservation of Inland Wetland Biodiversity,1200,Lithuania,Biodiversity,Full-size Project,United Nations Development Programme,3261000,8958000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,12219000
Vilnius Heat Demand Management Project,948,Lithuania,Climate Change,Full-size Project,The World Bank,10000000,55300000,Completed,2003,GEF Trust Fund,No,No,GEF - 2,65300000
"Baltic Sea Regional Project, Tranche 1",922,Lithuania,International Waters,Full-size Project,"The World Bank, United Nations Development Programme",5500000,6620000,Completed,2003,GEF Trust Fund,No,No,GEF - 2,12120000
Enabling Lithuania to Prepare its Initial National Communication in Response to its Commitments to UNFCCC,581,Lithuania,Climate Change,Enabling Activity,United Nations Development Programme,154500,0,Completed,1997,GEF Trust Fund,No,No,GEF - 1,154500
Biodiversity Action Plan/National Report,551,Lithuania,Biodiversity,Enabling Activity,The World Bank,70000,0,Completed,1996,GEF Trust Fund,No,No,GEF - 1,70000
Lithuania Phase out of Ozone Depleting Substances,344,Lithuania,Chemicals and Waste,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",4416529,3621478,Completed,1998,GEF Trust Fund,No,No,GEF - 1,8038007
Klaipeda Geothermal Demonstration,106,Lithuania,Climate Change,Full-size Project,The World Bank,6900000,11120000,Completed,1995,GEF Trust Fund,No,No,GEF - 1,18020000
Sustainable Financing and Inclusive Management to Perpetuate Madagascar’s Locally Managed Marine Areas,11802,Madagascar,Biodiversity,GBFF,World Wildlife Fund - US Chapter,0,0,Concept Approved,1970,Global Biodiversity Framework Fund,No,No,GEF - 8,0
Transforming the Global Biodiversity Framework into Tangible Action in Madagascar - BioTAct (Biodiversity Tangible Action),11775,Madagascar,Biodiversity,GBFF,International Union for Conservation of Nature,0,0,Concept Approved,1970,Global Biodiversity Framework Fund,No,No,GEF - 8,0
PCB Use Phase Out and Elimination in Madagascar,11751,Madagascar,Chemicals and Waste,Full-size Project,The World Bank,6000000,24000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,30000000
Global Elimination Program for PCB (GEP-PCB),11749,Madagascar,Chemicals and Waste,PFD,"The World Bank, African Development Bank, United Nations Development Programme, United Nations Environment Programme",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Madagascar,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
Promoting climate adaptation and resilience through innovation and entrepreneurship for green jobs in Madagascar,11710,Madagascar,Climate Change,Medium-size Project,United Nations Industrial Development Organization,4437156,20614000,Concept Approved,1970,Least Developed Countries Fund,No,No,GEF - 8,25051156
Programme for innovation in climate adaptation and resilience building solutions (PARS),11708,Madagascar,Climate Change,PFD,United Nations Industrial Development Organization,0,0,Concept Approved,1970,Least Developed Countries Fund,No,No,GEF - 8,0
Inclusive GEF Assembly Challenge Programme in Least Developed Countries (LDCs),11498,Madagascar,Climate Change,Medium-size Project,United Nations Industrial Development Organization,1585727,1163587,Project Approved,2024,Least Developed Countries Fund,No,No,GEF - 8,2749314
Program for improving sustainable marine fisheries opportunities in SADC – The Case of the Mozambique Channel.,11452,Madagascar,International Waters,Full-size Project,African Development Bank,5250000,14200000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,19450000
"Green, blue and healthy investments to reduce land-based pollution affecting marine ecosystems in Madagascar",11364,Madagascar,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,United Nations Development Programme,11626605,53268479,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,64895084
Clean and Healthy Ocean Integrated Program (CHO-IP),11349,Madagascar,,PFD,"Food and Agriculture Organization, Inter-American Development Bank, The World Bank, United Nations Environment Programme, European Bank for Reconstruction and Development, Conservation International, United Nations Development Programme, Development Bank of Latin America, Asian Development Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
"Establishing the basis for clean, healthy and resilient cities through an integrated and smart approach in Madagascar",11341,Madagascar,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Industrial Development Organization,10305442,54155000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,64460442
Sustainable Cities Integrated Program,11287,Madagascar,,PFD,"The World Bank, United Nations Industrial Development Organization, Food and Agriculture Organization, United Nations Development Programme, West African Development Bank, United Nations Environment Programme, International Union for Conservation of Nature, Development Bank of Southern Africa, Inter-American Development Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Madagascar,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11281,Madagascar,Biodiversity,Enabling Activity,United Nations Environment Programme,36435000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,36435000
Strengthening Ecosystem Restoration Investments in Madagascar,11139,Madagascar,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Environment Programme,14378898,69372104,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,83751002
Ecosystem Restoration,11118,Madagascar,,PFD,"Conservation International, International Fund for Agricultural Development, United Nations Environment Programme, International Union for Conservation of Nature, Food and Agriculture Organization, The World Bank, United Nations Development Programme",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Umbrella Programme for Preparation of National Communications (NCs) and Biennial Transparency Reports (BTRs) to the UN Framework Convention on Climate Change (UNFCCC),10973,Madagascar,Climate Change,Enabling Activity,United Nations Environment Programme,32058750,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 7,32058750
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella IV,10958,Madagascar,Land Degradation,Enabling Activity,United Nations Environment Programme,1826480,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1826480
